Designator,Mid X,Mid Y,Rotation,Layer
C1,189.6,5.9,270.0,top
C10,176.27,7.15,180.0,top
C11,187.55,10.58,270.0,top
C12,186.505,23.83,0.0,top
C13,171.025,25.1,90.0,top
C14,168.55,10.675,90.0,top
C15,188.8,10.305,270.0,top
C16,182.275,6.925,270.0,top
C17,181.275,6.925,270.0,top
C18,188.2,22.9,90.0,top
C19,172.2,26.8,180.0,top
C2,180.67,28.6,0.0,top
C20,166.28,19.12,180.0,top
C21,164.35,8.6,90.0,top
C22,158.65,16.8,0.0,top
C23,30.45,25.9,0.0,top
C24,26.825,19.45,270.0,top
C25,22.85,19.45,270.0,top
C26,29.325,19.4,270.0,top
C27,19.65,22.7,90.0,top
C28,33.225,21.3,90.0,top
C29,31.7,12.8,270.0,top
C3,188.25,17.9,0.0,top
C30,40.425,9.4,180.0,top
C31,40.45,12.65,180.0,top
C32,32.8,13.6,90.0,top
C33,34.2,15.9,270.0,top
C34,19.5,9.8,0.0,top
C35,21.7,9.8,180.0,top
C36,62.1325,26.25,0.0,top
C37,59.6125,19.25,0.0,top
C38,61.0,21.75,0.0,top
C39,65.675,20.0975,180.0,top
C4,188.45,16.1,0.0,top
C40,207.475,11.25,0.0,top
C41,197.7,19.0,0.0,top
C42,211.55,16.23,90.0,top
C43,197.17,15.75,180.0,top
C44,203.77,18.5,0.0,top
C45,204.0,12.75,270.0,top
C46,233.25,7.0,0.0,top
C47,217.15,22.3,90.0,top
C48,216.85,9.1,270.0,top
C49,227.0,24.5,0.0,top
C5,151.83,6.2,180.0,top
C50,197.55,21.53,90.0,top
C51,200.52,24.05,180.0,top
C52,130.7,22.9,270.0,top
C53,130.9,25.4,90.0,top
C54,138.1,25.675,90.0,top
C55,138.3,23.1,270.0,top
C56,80.545,24.95,180.0,top
C57,169.32,6.8,0.0,top
C58,169.32,5.3,0.0,top
C59,169.65,8.3,0.0,top
C6,177.795,2.0,0.0,top
C60,169.32,3.75,0.0,top
C7,180.425,3.77,270.0,top
C8,168.55,12.85,270.0,top
C9,174.65,6.925,270.0,top
D1,172.0125,2.85,0.0,top
D10,146.5,27.18,270.0,top
D2,15.95,10.6,270.0,top
D3,12.65,16.5,180.0,top
D4,62.765,2.6,0.0,top
D5,72.145,18.1475,90.0,top
D6,214.0,27.0,180.0,top
D7,217.2125,27.0,180.0,top
D8,146.5,22.68,90.0,top
D9,144.0,24.43,270.0,top
FB1,184.55,6.08,180.0,top
FB2,205.0,10.0,90.0,top
FID1,6.5,28.5,0.0,top
FID2,129.575,1.58,0.0,top
FID3,188.05,28.58,0.0,top
FID4,249.0,4.0,0.0,top
J1,146.6,6.185,270.0,top
J10,142.25,17.025,0.0,top
J2,164.45,23.14,0.0,top
J3,9.6,7.625,270.0,top
J4,-0.0075,20.0,270.0,top
J5,46.8175,8.4,90.0,top
J6,33.9825,7.4,270.0,top
J7,63.7175,12.65,90.0,top
J8,240.3555,14.303,270.0,top
J9,151.775,23.33,270.0,top
L1,40.45,19.65,0.0,top
L2,66.1125,24.75,0.0,top
Q1,21.45,12.2,0.0,top
R10,16.4,19.5,90.0,top
R11,14.95,21.2,180.0,top
R12,17.61,19.5,90.0,top
R13,74.85,15.21,90.0,top
R14,117.05,11.8,90.0,top
R15,16.25,25.6,0.0,top
R16,10.95,19.2,180.0,top
R17,33.9,13.6,90.0,top
R18,30.558665,15.104387,270.0,top
R19,30.6,13.1,270.0,top
R2,163.6,18.9,0.0,top
R20,32.675,15.35,0.0,top
R21,25.45,12.1,90.0,top
R22,19.1,8.0,270.0,top
R23,75.35,24.5,0.0,top
R24,20.5,8.0,90.0,top
R25,21.9,8.0,270.0,top
R26,75.85,26.2,90.0,top
R27,65.34,2.6,180.0,top
R28,72.1,20.5,0.0,top
R29,197.25,16.75,0.0,top
R3,162.95,13.8,90.0,top
R30,195.5,18.76,270.0,top
R31,197.5,14.25,270.0,top
R32,200.25,11.51,90.0,top
R33,197.0,12.5,0.0,top
R34,209.24,18.25,0.0,top
R35,210.25,16.24,90.0,top
R36,208.74,15.75,180.0,top
R37,211.25,14.26,270.0,top
R38,194.54,17.0,0.0,top
R39,193.99,18.25,0.0,top
R4,164.05,12.9,270.0,top
R40,195.99,13.75,0.0,top
R41,205.75,18.5,180.0,top
R42,228.65,7.675,270.0,top
R43,230.15,7.675,270.0,top
R44,231.6875,4.1,0.0,top
R45,199.0,10.0,0.0,top
R46,213.7,25.5,180.0,top
R47,216.8,25.4,180.0,top
R48,226.5,27.5,180.0,top
R49,204.74,19.5,0.0,top
R5,173.0,4.84,270.0,top
R50,195.25,15.75,0.0,top
R51,141.5,24.5425,270.0,top
R52,143.0,21.0,0.0,top
R53,177.05,27.58,90.0,top
R54,143.0,28.08,180.0,top
R55,115.0,22.6,180.0,top
R56,115.825,20.59,270.0,top
R57,115.0,9.6,180.0,top
R58,115.825,7.57,270.0,top
R59,126.4,18.4,180.0,top
R6,162.1,8.4,270.0,top
R60,128.825,18.33,90.0,top
R61,129.7,7.6,180.0,top
R62,130.575,5.59,270.0,top
R7,163.45,10.5,270.0,top
R8,14.01,19.49,90.0,top
R9,15.21,19.5,90.0,top
SW1,158.175,8.515,180.0,top
SW2,107.825,22.6,180.0,top
SW3,107.825,7.6,180.0,top
SW4,122.825,22.6,180.0,top
SW5,122.825,7.6,180.0,top
TR1,222.95,15.5,0.0,top
U1,192.76,6.33,0.0,top
U10,214.15,15.6,0.0,top
U11,201.07,15.4725,270.0,top
U12,134.425,26.055,0.0,top
U13,83.825,15.255,0.0,top
U2,178.05,16.755,0.0,top
U3,151.8625,8.7,0.0,top
U4,151.8625,3.7,0.0,top
U5,31.55,23.925,0.0,top
U6,10.95,22.4,90.0,top
U7,17.05,23.3,0.0,top
U8,31.85,18.48,90.0,top
U9,61.1125,24.0,180.0,top
Y1,177.675,4.35,0.0,top
Y2,200.4,21.6,0.0,top
